Entry	Entry Name	Gene Names
O32307	C19AA_BACTJ	cry19Aa cryXIXA(a)
O32321	C20AA_BACUF	cry20Aa cryXXA(a)
O34391	XLYB_BACSU	xlyB yjpB BSU12460
O34549	GERR_BACSU	gerR ylbO BSU15090
O34752	LGT_BACSU	lgt gerF BSU34990
O66377	CR1FB_BACTM	cry1Fb cryIF(b) cryINA67-1
O85805	CR1BE_BACTU	cry1Be 158C2B cryIB(e)
O86170	C19BA_BACUH	cry19Ba cryXIXB(a)
O87404	CR1IC_BACTU	cry1Ic cryII(c)
O87905	C24AA_BACTJ	cry24Aa cryXXIVA(a)
O87906	C25AA_BACTJ	cry25Aa cryXXVA(a)
P00783	SUBT_BACSA	apr
P02959	SASA_PRIMG	sasP-A
P02960	SASC_PRIMG	sasP-C
P02961	SASG_PRIMG	sasP-B
P02964	RPSH_BACLI	sigH spo0H
P02966	DESS_MYXXA	tps
P04833	SSPD_BACSU	sspD BSU13470
P05068	CR1AC_BACTK	cry1Ac cry1A(c) cry218 cryIA(c)
P06653	ALYS_STRPN	lytA SP_1937
P07784	SSPE_BACSU	sspE BSU08660
P07999	DHGB_PRIMG	gdhB
P09662	C10AA_BACTI	cry10Aa cryIVc cryXA(a)
P0A366	CR1AA_BACTK	cry1Aa cry-1-1 cry1A(a) cryA crybns3-1 cryIA(a) icp
P0A367	CR1AA_BACTA	cry1Aa cry-1-1 cry1A(a) cryA crybns3-1 cryIA(a) icp
P0A368	CR1AA_BACTE	cry1Aa cry-1-1 cry1A(a) cryA crybns3-1 cryIA(a) icp
P0A369	CR1AA_BACTS	cry1Aa cry-1-1 cry1A(a) cryA crybns3-1 cryIA(a) icp
P0A370	CR1AB_BACTK	cry1Ab bt2 cry-1-2 cry1A(b) cryIA(b) cryIC1
P0A371	CR1AB_BACTB	cry1Ab bt2 cry-1-2 cry1A(b) cryIA(b) cryIC1
P0A372	CR1AB_BACTA	cry1Ab bt2 cry-1-2 cry1A(b) cryIA(b) cryIC1
P0A373	CR1BA_BACTK	cry1Ba cryA4 cryIB(a)
P0A375	CR1CA_BACTE	cry1Ca cryIC cryIC(a)
P0A376	CR1CA_BACTA	cry1Ca cryIC cryIC(a)
P0A377	CR2AA_BACTK	cry2Aa cryB1 cryII cryIIA(a)
P0A380	CR3AA_BACTM	cry3Aa bt13 cry3A cryC cryIIIa cryIIIA(a)
P0A382	CT1AA_BACTI	cyt1Aa cytA
P0A4I3	SP0A_BACCR	spo0A BC_4170
P0A4I4	SP0A_BACTU	spo0A
P0CY50	COMX_BACIU	comX
P12310	DHG_BACSU	gdh BSU03930
P12963	BINA3_LYSSH	binA
P12964	BINB3_LYSSH	binB sph04
P14016	COTE_BACSU	cotE BSU17030
P14892	CWLA_BACSP	cwlA
P15378	LEP4_BACSU	comC BSU28070
P16449	KBAA_BACSU	kbaA ybaM ybxC BSU01560
P16480	CR4AA_BACTI	cry4Aa cryIVA(a) isrH4
P17531	RPOD_MYXXA	rpoD asgC sigA
P17557	DHA_GEOSE	ald
P17869	RPSH_BACSU	sigH spo0H BSU00980
P17969	CR3BA_BACTO	cry3Ba cryIIIb cryIIIB(a)
P19415	CR1DA_BACTA	cry1Da bt4 cryID cryID(a)
P19471	SP15_STRGR	NA
P21254	CR2AB_BACTK	cry2Ab cryB2 cryIIA(b)
P21256	C11AA_BACTI	cry11Aa cryD cryIVd cryXIA(a)
P21886	SAS1_CLOPE	sspC1 ssp2 CPE2064
P21887	SAS2_CLOPE	sspC2 ssp3 CPE1423
P24282	BOFA_BACSU	bofA BSU00230
P24556	LYTA_STAAU	lytA
P24808	CWLA_BACSU	cwlA BSU25900
P26904	DPPC_BACSU	dppC dciAC BSU12940
P26905	DPPD_BACSU	dppD dciAD BSU12950
P26906	DPPE_BACSU	dppE dciAE BSU12960
P28842	SUBT_BACS9	sub1
P29142	SUBT_GEOSE	aprJ
P31112	HEPS1_BACSU	hepS gerC1 gerCA hepA BSU22760
P32959	PBPE_BACSU	pbpE BSU34440
P37466	VEG_BACSU	veg BSU00440
P37548	YABG_BACSU	yabG BSU00430
P37553	FIN_BACSU	fin subA yabK BSU00540
P37558	YABP_BACSU	yabP BSU00600
P37559	YABQ_BACSU	yabQ BSU00610
P37575	SP2B_BACSU	spoIIB BSU28060
P37958	MECA1_BACSU	mecA BSU11520
P37963	SP6D_BACSU	spoVID BSU28110
P38490	YPEB_BACSU	ypeB joeB yzuA BSU22920
P38586	DEVT_MYXXD	devT cas8a1 MXAN_7263
P39043	DPP6_LYSSH	NA
P39482	DHG1_PRIMG	gdhI
P39603	YWCE_BACSU	ywcE BSU38130 ipa-41r
P39650	RSFA_BACSU	rsfA ywfN BSU37620 ipa-92r
P39800	XLYA_BACSU	xlyA BSU12810
P40746	TGL_BACSU	tgl yugV yuxF BSU31270
P41371	SAS0_CLOPE	ssp1 CPE2161
P42012	SP0A_LYSSH	spo0A
P42061	APPA_BACSU	appA BSU11381/BSU11382 BSU11380
P42064	APPD_BACSU	appD BSU11360
P42065	APPF_BACSU	appF BSU11370
P42249	CWLJ_BACSU	cwlJ ycbQ BSU02600
P42969	LIPC_BACSU	lipC ycsK BSU04110
P42983	NUCB_BACSU	nucB BSU25750
P45706	CCDA_BACSU	ccdA BSU17930
P45855	THL_BACSU	mmgA yqiL BSU24170
P45856	HBD_BACSU	mmgB yqiM BSU24160
P45859	MMGE_BACSU	mmgE prpD yqiP BSU24130
P45870	RACA_BACSU	racA ywkC BSU37030
P45943	RAPE_BACSU	rapE yqcH BSU25830
P49600	SP2E_PRIMG	spoIIE
P49785	SP3AH_BACSU	spoIIIAH BSU24360
P50739	SLEB_BACSU	sleB ypeA BSU22930
P50865	PDAB_BACSU	pdaB ybaN ybxG BSU01570
P52928	SP0A_BACAN	spo0A BA_4394 GBAA_4394 BAS4076
P52929	SP0A_BREPA	spo0A
P52931	SP0A_NIACI	spo0A
P52932	SP0A_PRIMG	spo0A
P52933	SP0A_BACPU	spo0A
P52936	SP0A_CLOB8	spo0A Cbei_1712
P52938	SP0A_CLODI	spo0A
P52939	SP0A_CLOIN	spo0A
P52940	SP0A_CLOPA	spo0A
P52941	SP0A_MOOTA	spo0A Moth_1505
P52942	SP0F_BACTK	spo0F
P54598	YHCN_BACSU	yhcN BSU09150
P55339	ECSA_BACSU	ecsA prsT yhaD BSU10040
P55340	ECSB_BACSU	ecsB prsT yhaC BSU10050
P56953	CR1CB_BACTG	cry1Cb cryIC(b)
P56955	CR5AC_BACTU	cry5Ac cryVA(c)
P56956	C21AA_BACTU	cry21Aa cryXXIA(a)
P58253	SP0A_CLOAB	spo0A CA_C2071
P59174	GPMI_OCEIH	gpmI pgm OB2435
P62179	RP35_BACTK	sigE
P62181	RP28_BACTK	sigK
P71031	SSPO_BACSU	sspO cotK BSU17990
P71044	SP2Q_BACSU	spoIIQ ywnI BSU36550
P71073	ADER_BACSU	adeR yukF BSU31920
P84583	SAS1_BACIU	NA
P84584	SAS2_BACIU	NA
P84585	SASG_BACIU	NA
P96315	CR1AF_BACTU	cry1Af cryIA(f) icp
Q03415	ENP1_LYSSH	NA
Q03744	CR1AD_BACTA	cry1Ad cryIA(d)
Q03745	CR1EB_BACTA	cry1Eb cryIE(b)
Q03746	CR1FA_BACTA	cry1Fa cryIF cryIF(a)
Q03748	CR1AE_BACTL	cry1Ae cryIA(e) endI
Q03749	CR7AA_BACTU	cry7Aa cryIIIc cryVIIA(a)
Q04470	CT2AA_BACTY	cyt2Aa1 cytB
Q04810	DPAB_BACSU	dpaB spoVFB BSU16740 orfX
Q07765	DEVR_MYXXD	devR cas7 MXAN_7262
Q07766	DEVS_MYXXD	devS cas5 MXAN_7261
Q08430	KINB_BACSU	kinB BSU31450
Q182S9	YICC_CLOD6	CD630_25890
Q2JDA6	SSGB_FRACC	ssgB Francci3_1359
Q45058	COTM_BACSU	cotM yneL BSU17970
Q45358	C18AA_PAEPP	cry18Aa cryBP1 cryXVIIIA(a)
Q45535	COTH_BACSU	cotH ywrH BSU36060
Q45704	CR8AA_BACUK	cry8Aa cryVIIIA(a)
Q45705	CR8BA_BACUK	cry8Ba 50C(b) cryVIIIB(a)
Q45706	CR8CA_BACTP	cry8Ca cryIII cryVIIIC(a)
Q45707	CR7AB_BACUA	cry7Ab cryVIIA(b)
Q45708	CR7AB_BACUK	cry7Ab cryVIIA(b)
Q45709	CR1IB_BACTE	cry1Ib cryII(b) cryV cryV465
Q45712	CR5BA_BACTU	cry5Ba cryVB(a)
Q45715	CR1KA_BACTM	cry1Ka cry1K cryIK(a)
Q45716	CR1JB_BACTU	cry1Jb cryET1 cryIJ(b)
Q45718	CR1HB_BACTM	cry1Hb cryIH(b)
Q45730	C11BA_BACTJ	cry11Ba cry11B cryXIB(a)
Q45733	CR9CA_BACTO	cry9Ca cryIXC(a)
Q45738	CR1JA_BACTU	cry1Ja cryET4 cryIJ(a)
Q45739	CR1BB_BACTU	cry1Bb cryET5 cryIB(b)
Q45743	CR2AC_BACTU	cry2Ac cryIIA(c) cryIIc
Q45744	CR3CA_BACTK	cry3Ca cryIIIC(a) cryIIId
Q45746	CR1GA_BACTU	cry1Ga cryIG(a)
Q45747	CR1DB_BACTU	cry1Db cryID(b)
Q45748	CR1HA_BACTU	cry1Ha cryIH(a)
Q45752	CR1IA_BACTK	cry1Ia CGCryV cryII(a) cryV cryV1
Q45753	CR5AB_BACUD	cry5Ab cryVA cryVA(b)
Q45754	C12AA_BACTU	cry12Aa cryVB cryXIIA(a)
Q45755	C13AA_BACTU	cry13Aa cryVC cryXIIIA(a)
Q45760	CR5AA_BACUD	cry5Aa cryVA cryVA(a)
Q45774	CR1BC_BACTM	cry1Bc cryIB(c) cryIBc
Q45882	C16AA_PARBF	cry16Aa cbm71 cryXVIA(a)
Q47N25	SSGB_THEFY	ssgB Tfu_2111
Q57458	CR1EA_BACTX	cry1Ea bt11 btxI cryIC(b) cryIE(a)
Q5KVB2	RACA_GEOKA	racA GK3089
Q5WC42	YKUD_SHOC1	ABC3535
Q5WDK8	GPMI_SHOC1	gpmI pgm ABC3018
Q631M1	GPMI_BACCZ	gpmI BCE33L4825
Q65DU9	RACA_BACLD	racA BLi03951 BL04032
Q65EN1	GPMI_BACLD	gpmI pgm BLi03662 BL03467
Q65K99	YKUD_BACLD	BLi01617 BL03652
Q6B4J5	EXSA_BACCE	exsA
Q6HBF2	GPMI_BACHK	gpmI BT9727_4815
Q72XY4	GPMI_BACC1	gpmI gpmA BCE_5239
Q815K7	GPMI_BACCR	gpmI BC_5136
Q81DD1	SP2SA_BACCR	spoIISA BC_2436
Q81QD6	SP2SA_BACAN	spoIISA BA_2490 GBAA_2490
Q8CX61	DHA_OCEIH	ald OB3225
Q939S9	C35AB_BACTU	NA
Q939T0	C34AB_BACTU	NA
Q99031	CR9AA_BACTG	cry9Aa cryIG cryIVA(a)
Q9K716	GPMI_HALH5	gpmI pgm BH3557
Q9RMG3	CR2AD_BACTU	cry2Ad cry2 cryIIA(d)
Q9S515	CR1AG_BACTU	cry1Ag cry1 cryIA(g)
Q9S597	C27AA_BACUH	cry27Aa cryXXVIIA(a)
Q9X597	C26AA_BACTF	cry26Aa cry26Aa1 cryXXVIA(a)
Q9X682	C28AA_BACTF	cry28Aa cryXXVIIIA(a)
Q9XDL1	CR1ID_BACTU	cry1Id cryII(d) NRcryV
Q9ZAZ5	CR1BD_BACTZ	cry1Bd cryE1 cryIB(d) cryLA1
Q9ZAZ6	CR1GB_BACTZ	cry1Gb cryH2 cryIG(b)
Q9ZIU5	C11BB_BACTV	cry11Bb cryXIB(b)
Q9ZNL9	CR9EA_BACTA	cry9Ea cryIXE(a)
A0RAQ6	HPR_BACAH	hpr BALH_0933
A0RHX9	TGL_BACAH	tgl BALH_3589
A4FB46	SSGB_SACEN	ssgB SACE_1961
A4IKI9	SSPK_GEOTN	sspK GTNG_0461
A4IKT9	HPR_GEOTN	hpr GTNG_0561
A4IMM1	SSPP_GEOTN	sspP GTNG_1203
A4IMM3	SSPO_GEOTN	sspO GTNG_1205
A4IN31	SSPH1_GEOTN	sspH1 GTNG_1365
A4IN74	SSPN_GEOTN	sspN GTNG_1408
A4IN75	TLP_GEOTN	tlp GTNG_1409
A4IPX4	SSPH2_GEOTN	sspH2 GTNG_2026
A4ISB5	SSPH3_GEOTN	sspH3 GTNG_2874
A4X5B6	SSGB_SALTO	ssgB Strop_1600
A6TQ57	SSPH_ALKMQ	sspH Amet_2166
A6WCJ4	SSGB_KINRD	ssgB Krad_3069
A7GJW0	SP5G_BACCN	spoVG Bcer98_0043
A7GKY7	SSPK_BACCN	sspK Bcer98_0440
A7GL73	SSPH1_BACCN	sspH1 Bcer98_0530
A7GLZ1	HPR_BACCN	hpr Bcer98_0812
A7GNL0	SSPH2_BACCN	sspH2 Bcer98_1397
A7GQU9	SSPN_BACCN	sspN Bcer98_2258
A7GQV6	SSPO_BACCN	sspO Bcer98_2265
A7GQV9	SSPP_BACCN	sspP Bcer98_2268
A7GRZ1	TGL_BACCN	tgl Bcer98_2665
A7Z0H2	SP5G_BACVZ	spoVG RBAM_000580
A7Z2J3	SSPH_BACVZ	sspH RBAM_008350
A7Z2M2	SSPK_BACVZ	sspK RBAM_008640
A7Z311	HPR_BACVZ	hpr RBAM_010230
A7Z565	SSPP_BACVZ	sspP RBAM_017780
A7Z566	SSPO_BACVZ	sspO RBAM_017790
A7Z570	SSPN_BACVZ	sspN RBAM_017830
A7Z571	TLP_BACVZ	tlp RBAM_017840
A8F916	SP5G_BACP2	spoVG BPUM_0033
A8FB65	SSPK_BACP2	sspK BPUM_0798
A8FBL1	HPR_BACP2	hpr BPUM_0944
A8FDQ8	SSPP_BACP2	sspP BPUM_1697
A8FDQ9	SSPO_BACP2	sspO BPUM_1698
A8FDR3	SSPN_BACP2	sspN BPUM_1702
A8FGT0	TGL_BACP2	tgl BPUM_2792
A9VI69	HPR_BACMK	hpr BcerKBAB4_0960
A9VN61	SP5G_BACMK	spoVG BcerKBAB4_0043
A9VNW3	SSPO_BACMK	sspO BcerKBAB4_3303
A9VSR6	SSPK_BACMK	sspK BcerKBAB4_0436
A9VUC4	TGL_BACMK	tgl BcerKBAB4_3789
B1HVK6	HPR_LYSSC	hpr Bsph_0398
B1YK88	HPR_EXIS2	hpr Exig_0688
B7GI77	SSPO_ANOFW	sspO Aflv_1493
B7GKT2	SSPN_ANOFW	sspN Aflv_1370
B7H546	RACA_BACC4	racA BCB4264_A2269
B7H6V0	TGL_BACC4	tgl BCB4264_A4066
B7H9R2	SSPK_BACC4	sspK BCB4264_A0522
B7HAY1	SSPN_BACC4	sspN BCB4264_A3717
B7HC95	SSPO_BACC4	sspO BCB4264_A3725
B7HG19	HPR_BACC4	hpr BCB4264_A1081
B7HIL6	SP5G_BACC4	spoVG BCB4264_A0053
B7HME8	TGL_BACC7	tgl BCAH187_A4082
B7HPV9	SP5G_BACC7	spoVG BCAH187_A0057
B7HQ80	RACA_BACC7	racA BCAH187_A2396
B7HU54	SSPK_BACC7	sspK BCAH187_A0575
B7HZH8	HPR_BACC7	hpr BCAH187_A1210
B7I057	SSPN_BACC7	sspN BCAH187_A3635
B7I063	SSPO_BACC7	sspO BCAH187_A3641
B7IKC1	HPR_BACC2	hpr BCG9842_B4223
B7IRQ5	SSPN_BACC2	sspN BCG9842_B1599
B7ISF6	SSPO_BACC2	sspO BCG9842_B1592
B7ISV8	SP5G_BACC2	spoVG BCG9842_B5263
B7IVK0	TGL_BACC2	tgl BCG9842_B1174
B7IW10	SSPK_BACC2	sspK BCG9842_B4802
B7JCX5	HPR_BACC0	hpr BCAH820_1122
B7JI38	SSPN_BACC0	sspN BCAH820_3620
B7JI46	SSPO_BACC0	sspO BCAH820_3628
B7JK55	SP5G_BACC0	spoVG BCAH820_0054
B7JKT7	TGL_BACC0	tgl BCAH820_3978
B7JML4	RACA_BACC0	racA BCAH820_2312
B7JNF2	SSPK_BACC0	sspK BCAH820_0500
B9IT66	HPR_BACCQ	hpr BCQ_1118
B9IUC1	SSPN_BACCQ	sspN BCQ_3403
B9IUC7	SSPO_BACCQ	sspO BCQ_3409
B9IW43	TGL_BACCQ	tgl BCQ_3752
B9IZT9	RACA_BACCQ	racA BCQ_2223
B9J2V0	SSPK_BACCQ	sspK BCQ_0547
C0H3Y8	YJCZ_BACSU	yjcZ BSU11809
C0SPA3	YLXW_BACSU	ylxW BSU15250
C1EKG1	HPR_BACC3	hpr BCA_1081
C1EN49	SSPN_BACC3	sspN BCA_3702
C1EN57	SSPO_BACC3	sspO BCA_3710
C1EPX7	TGL_BACC3	tgl BCA_4068
C1ESX8	SP5G_BACC3	spoVG BCA_0058
C1ETF1	RACA_BACC3	racA BCA_2368
C1EWF4	SSPK_BACC3	sspK BCA_0538
C3L9B6	SSPO_BACAC	sspO BAMEG_0956
C3L9C4	SSPN_BACAC	sspN BAMEG_0964
C3LCW8	HPR_BACAC	hpr BAMEG_3528
C3LHB3	SSPK_BACAC	sspK BAMEG_4087
C3LI29	TGL_BACAC	tgl BAMEG_4216
C3LJ21	SP5G_BACAC	spoVG BAMEG_0058
C3LJH8	RACA_BACAC	racA BAMEG_2307
C3P2U9	HPR_BACAA	hpr BAA_1136
C3P450	SSPN_BACAA	sspN BAA_3698
C3P458	SSPO_BACAA	sspO BAA_3706
C3P6X0	TGL_BACAA	tgl BAA_4198
C3P8Z9	RACA_BACAA	racA BAA_2351
C3P9J4	SP5G_BACAA	spoVG BAA_0058
C3PCY0	SSPK_BACAA	sspK BAA_0580
C5D2I2	SSPN_GEOSW	sspN GWCH70_1888
C5D5S3	SSPK_GEOSW	sspK GWCH70_0460
C5D6L6	HPR_GEOSW	hpr GWCH70_0640
C5D9Z3	SSPP_GEOSW	sspP GWCH70_1254
L8EBJ6	SSCB_BACSU	sscB BSU_09959
O06716	GERPF_BACSU	gerPF yisC BSU10670
O06717	GERPE_BACSU	gerPE yisD BSU10680
O06718	GERPD_BACSU	gerPD yisE BSU10690
O06719	GERPC_BACSU	gerPC yisF BSU10700
O06720	GERPB_BACSU	gerPB yisG BSU10710
O06721	GERPA_BACSU	gerPA yisH BSU10720
O06722	YISI_BACSU	yisI BSU10730
O06996	COTR_BACSU	cotR yvdO BSU34530
O06997	YVDP_BACSU	yvdP BSU34520
O07520	YHAL_BACSU	yhaL BSU09940
O07544	YHEC_BACSU	yheC BSU09780
O31552	SSPH_BACSU	sspH yfjU BSU08110
O31622	COTO_BACSU	cotO yjbX BSU11730
O31623	YJCA_BACSU	yjcA BSU11790
O31681	YKVP_BACSU	ykvP BSU13780
O31700	CSE15_BACSU	cse15 yknT BSU14250
O31725	YLMC_BACSU	ylmC BSU15360
O31809	YNDE_BACSU	yndE BSU17760
O31810	YNDF_BACSU	yndF BSU17770
O31819	YNZD_BACSU	ynzD BSU17920
O32123	YUTH_BACSU	yutH BSU32270
O32131	YUNB_BACSU	yunB BSU32350
O32322	CT2BB_BACTJ	cyt2Bb1
O32720	SP2AA_PAEPO	spoIIAA
O32723	SP2AA_LYSSH	spoIIAA
O32726	SP2AA_GEOSE	spoIIAA
O34412	YLBF_BACSU	ylbF BSU14990
O34505	YTHB_BACSU	ythB BSU30720
O34573	YFKT_BACSU	yfkT BSU07760
O34656	COTI_BACSU	cotI ytaA BSU30920
O34765	YLBJ_BACSU	ylbJ BSU15030
O34806	YTFJ_BACSU	ytfJ BSU29500
O35028	YFKR_BACSU	yfkR BSU07780
O66042	MECA_ALKPO	mecA BpOF4_01905
O68685	GERPC_BACCE	gerPC
O68687	GERPE_BACCE	gerPE
O85467	GERIA_BACCE	gerIA
P02958	SSPC_BACSU	sspC BSU19950
P02967	DEST_MYXXA	ops
P04831	SSPA_BACSU	sspA BSU29570
P04832	SSPB_BACSU	sspB BSU09750
P04834	SAS4_PRIMG	SASP-C4
P04835	SAS5_PRIMG	SASP-C5
P06552	SAS1_GEOSE	sasP-1
P06553	SAS1_LACSH	sasP-1
P07372	SP2D_BACSU	spoIID spoIIC BSU36750
P07785	SSPE_GEOSE	sspE
P07786	SASG_LACSH	NA
P07787	SASG_BACCE	NA
P07868	GERAA_BACSU	gerAA gerA1 BSU33050
P07869	GERAB_BACSU	gerAB gerA2 BSU33060
P07870	GERAC_BACSU	gerAC gerA3 BSU33070
P0A374	CR1BA_BACTE	cry1Ba cryA4 cryIB(a)
P0A378	CR2AA_BACTX	cry2Aa cryB1 cryII cryIIA(a)
P0A383	CT1AA_BACTM	cyt1Aa cytA
P0A3T7	GERPB_BACCE	gerPB
P0A3T9	GERPD_BACCE	gerPD
P0A3V0	SLEB_BACCR	sleB BC_2753
P0A4F2	SAS1_BACCR	sasP-1 BC_3091
P0A4F3	SAS1_BACCE	sasP-1
P0A4F4	SAS2_BACCR	sasP-2 BC_4646
P0A4F5	SAS2_BACCE	sasP-2
P0A4F6	SSPF_BACCR	sspF BC_0049
P0A4F7	SSPF_BACCE	sspF
P10570	SAS1_PRIMG	SASP-C1
P10571	SAS2_PRIMG	SASP-C2
P10572	SAS3_PRIMG	SASP-C3
P11470	GERE_BACSU	gerE BSU28410
P11863	COTT_BACSU	cotT BSU12090
P12690	SAPA_STRCO	sapA SCO0409 SCF51.08c
P13251	SP2D_BACAM	spoIID
P15281	SP3D_BACSU	spoIIID BSU36420
P16450	GERD_BACSU	gerD BSU01550
P21341	PAIB_BACSU	paiB yumE BSU32140
P22065	SAS1_PARBF	NA
P22066	SAS2_PARBF	NA
P23261	COTF_BACSU	cotF BSU40530
P26764	RPSF_BACLI	sigF spoIIAC
P26767	SP2G_BACTK	NA
P26777	SP2AA_BACLI	spoIIAA
P26903	DPPB_BACSU	dppB dciAB BSU12930
P27643	SP5K_BACSU	spoVK spoVJ BSU17420
P27755	PRU_MYXXA	pru
P28015	SP5G_BACSU	spoVG BSU00490
P28016	SP5G_PRIMG	spoVG
P31845	SP5AF_BACSU	spoVAF BSU23390
P33657	RPSE_CLOAB	sigE spoIIGB CA_C1695
P33658	RPSG_CLOAB	sigG CA_C1696
P35142	SASG_ALKPO	sspA BpOF4_10780
P35145	RPSF_PRIMG	sigF spoIIAC
P35147	SP2AA_PRIMG	spoIIAA
P35157	SPMA_BACSU	spmA ypuJ BSU23180
P35158	SPMB_BACSU	spmB ypuK BSU23170
