Entry	Entry Name	Gene Names
Q7WY66	SSPL_BACSU	sspL BSU22000
Q7WY67	GERT_BACSU	gerT yozR BSU19490
Q7WY69	SSPN_BACSU	sspN BSU18020
Q7WY75	SSPK_BACSU	sspK BSU08550
Q813W6	HPR_BACCR	hpr BC_1047
Q819L3	TGL_BACCR	tgl BC_3963
Q81AF2	SSPP_BACCR	sspP BC_3620
Q81AF5	SSPO_BACCR	sspO BC_3617
Q81AG1	SSPN_BACCR	sspN BC_3609
Q81DD0	SP2SB_BACCR	spoIISB BC_2437
Q81DW0	RACA_BACCR	racA BC_2239
Q81FB5	SSPH2_BACCR	sspH2 BC_1679
Q81FS9	MECA2_BACCR	mecA2 BC_1490
Q81GK5	MECA1_BACCR	mecA1 BC_1190
Q81I11	SSPH1_BACCR	sspH1 BC_0614
Q81I94	SSPK_BACCR	sspK BC_0501
Q81J99	SP5G_BACCR	spoVG BC_0053
Q81JG1	HPR_BACAN	hpr BA_1045 GBAA_1045 BAS0976
Q81MS1	TGL_BACAN	tgl BA_4173 GBAA_4173 BAS3875
Q81QD4	SP2SB_BACAN	spoIISB BA_2492 GBAA_2492 BAS2315
Q81QX8	RACA_BACAN	racA BA_2287 GBAA_2287 BAS2133
Q81SD1	SSPH2_BACAN	sspH2 BA_1729 GBAA_1729 BAS1605.1
Q81SY4	MECA2_BACAN	mecA2 BA_1510 GBAA_1510 BAS1400
Q81TR3	MECA1_BACAN	mecA1 mecA BA_1203 GBAA_1203 BAS1111
Q81V87	SSPH1_BACAN	sspH1 BA_0613 GBAA_0613 BAS0579
Q81VZ2	SP5G_BACAN	spoVG BA_0047 GBAA_0047 BAS0047
Q81Y79	SSPO_BACAN	sspO cotK BA_3678 GBAA_3678 BAS3409
Q81Y87	SSPN_BACAN	sspN BA_3670 GBAA_3670 BAS3403.1
Q81YW1	SSPK_BACAN	sspK BA_0519 GBAA_0519 BAS0488.1
Q8CUT7	SSPP_OCEIH	sspP OB1020
Q8ETS4	TLP_OCEIH	tlp OB0182
Q93LK7	GERQC_BACCE	gerQC
Q93LK8	GERQB_BACCE	gerQB
Q93LK9	GERQA_BACCE	gerQA
Q93N68	GERLC_BACCE	gerLC
Q93N69	GERLB_BACCE	gerLB
Q93N70	GERLA_BACCE	gerLA
Q9K5N0	SOJ_HALH5	soj BH4058
Q9K5W7	TGL_HALH5	tgl BH3970
Q9K6A3	CWLJ_HALH5	cwlJ BH3826
Q9K8Z3	MECA2_HALH5	mecA2 BH2859
Q9KAI6	SSPP_HALH5	sspP BH2301
Q9KAI7	SSPO_HALH5	sspO BH2300
Q9KAJ2	SSPN_HALH5	sspN BH2295
Q9KAK0	TLP_HALH5	tlp BH2287
Q9KB63	YWCE_HALH5	ywcE BH2068
Q9KB75	SSPH_HALH5	sspH BH2053
Q9KC68	RACA_HALH5	racA BH1706
Q9KCE0	SLEB_HALH5	sleB BH1631
Q9KCF1	MECA1_HALH5	mecA1 BH1620
Q9KDL8	CCDA_HALH5	ccdA BH1194
Q9KDM7	HPR_HALH5	hpr BH1185
Q9KEC6	SSPK_HALH5	sspK BH0927
Q9KGJ7	SP5G_HALH5	spoVG BH0064
Q9ZFB3	GERXC_BACAN	gerXC pXO1-112 BXA0158 GBAA_pXO1_0158
Q9ZFB4	GERXA_BACAN	gerXA pXO1-113 BXA0157 GBAA_pXO1_0157
Q9ZFB5	GERXB_BACAN	gerXB pXO1-114 BXA0156 GBAA_pXO1_0156
A0RH02	TLP_BACAH	tlp BALH_3249
A3DEN2	SSPH_ACET2	sspH Cthe_1179
A5HZY2	SSPH1_CLOBH	sspH1 CBO0789 CLC_0845
A5I174	SSPH2_CLOBH	sspH2 CBO1236 CLC_1277
A6M0F0	SSPH_CLOB8	sspH Cbei_3970
A7FS46	SSPH1_CLOB1	sspH1 CLB_0831
A7FTB7	SSPH2_CLOB1	sspH2 CLB_1265
A7GBI7	SSPH1_CLOBL	sspH1 CLI_0875
A7GCS6	SSPH2_CLOBL	sspH2 CLI_1321
A7GTL2	SSPI_BACCN	sspI Bcer98_3251
A7Z7F5	SSPI_BACVZ	sspI RBAM_025730
A8FDR4	TLP_BACP2	tlp BPUM_1703
A9VJM6	SSPI_BACMK	sspI BcerKBAB4_4394
B7HAY0	TLP_BACC4	tlp BCB4264_A3716
B7HRK4	SSPI_BACC7	sspI BCAH187_A4689
B7I056	TLP_BACC7	tlp BCAH187_A3634
B7IJW2	SSPI_BACC2	sspI BCG9842_B0565
B7JI37	TLP_BACC0	tlp BCAH820_3619
